NoClient;NomComplet;R‚gion;Etat;Ville;CodePostal
3;Bonnie Potter;West;Washington;Anacortes;98221
21;Tony Wilkins Winters;East;New York;New York City;10012
23;Lynn Moss;West;California;Laguna Hills;92653
94;Eddie House Mueller;Central;Illinois;Chicago;60601
96;Vincent Lindsay;Central;Kansas;Lenexa;66215
102;Caroline Johnston;East;Massachusetts;Boston;2129
103;Alexander Hendricks;East;Massachusetts;Franklin;2038
106;Harry Faulkner;East;Massachusetts;Sharon;2067
108;Fred Sharma;East;New Jersey;Ewing;8618
110;Stanley Kessler;East;New Jersey;Nutley;7110
113;Kathryn Norton;East;Rhode Island;Woonsocket;2895
141;Toni Daly;West;California;Visalia;93277
166;Vicki Hauser;South;Tennessee;Lebanon;37087
170;Christopher Carlton;East;Maine;Westbrook;4092
174;Amanda Huang;Central;Texas;Saginaw;76131
177;Brent Walters;Central;Texas;Corpus Christi;78415
198;Leroy Blanchard;Central;Michigan;Detroit;48138
204;Bob Epstein;Central;Texas;Dallas;75217
216;Tonya B Horne;West;Utah;Magna;84044
228;Colleen Andrews;South;North Carolina;Mint Hill;28227
232;Sandy Holmes;Central;Illinois;Oak Park;60302
262;Leah MacDonald;East;Ohio;Cleveland;44105
287;Bruce Norton;Central;Kansas;Topeka;66614
297;Stacy Price;East;Maine;Sanford;4073
299;Joshua Underwood;East;Massachusetts;Somerset;2725
305;Gayle Christian;East;Maryland;Perry Hall;21128
308;Glen Caldwell;West;Washington;Seattle;98115
310;Florence Clayton;West;California;Lawndale;90260
324;Lester Stuart;Central;Minnesota;Roseville;55113
336;Emma Sparks;West;Oregon;Oregon City;97045
339;Bobby Clements;East;Ohio;Columbus;43229
360;Lindsay Shepherd;West;California;Fresno;93727
380;Marian Bryant;Central;Illinois;Belvidere;61008
386;Sue Nichols;Central;Nebraska;Fremont;68025
387;Angela Howe;Central;Nebraska;Grand Island;68801
418;Lester Cho;West;California;San Mateo;94403
430;Harvey Barrett;West;California;San Ramon;94583
441;Jack Durham;East;New Jersey;West Milford;7480
451;Joyce Murray;West;California;Los Altos;94024
465;Ricky Johnston;West;California;Whittier;90604
